lead_id,domain,final_url,http_status,bytes,page_count,fetch_status,error_detail
97,orderatyapp.com,http://orderatyapp.com/,200,615,1,ok,"https: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'orderatyapp.com'. (_ssl.c:1016)"
574,sitnpaws.co.uk,https://sitnpaws.co.uk/,403,0,1,blocked,http_403
608,woozod.com,http://woozod.com/,403,787,1,blocked,http_403
664,golusrasoi.com,https://golusrasoi.com/,403,6192,1,blocked,http_403
670,mariosjewellers.co.za,https://mariosjewellers.com/,200,1156304,2,ok,
721,elpandeantes.com,,,0,0,error,http: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)
769,moniorobizuteria.pl,,,0,0,error,http: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)
781,operamykonos.com,,,0,0,error,http: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)
805,circuitrycircus.com,http://circuitrycircus.com/,403,1242,1,blocked,http_403
867,vardayoil.com,,,0,0,timeout,http: 
872,gamatilbod.com,https://gamatilbod.com/is/,200,226161,2,ok,
884,ngbtelecoms.com,https://ngbtelecoms.com/,200,994762,2,ok,
886,pnrnatural.com,https://pnrnatural.com/,200,148164,1,ok,
888,cosmopackegypt.com,https://cosmopackegypt.com/,200,404189,1,ok,page2_error:
889,videxled.ro,https://videxled.ro/,200,332963,1,ok,
957,ecartglobalstore.com,https://ecartglobalstore.com/,403,787,1,blocked,http_403
965,sortedservice.in,https://sortedservice.in/,200,160184,1,ok,page2_error:
967,danrelax.com,https://danrelax.com/,200,312635,1,ok,
972,idclinic.lt,https://idclinic.lt/,200,611868,1,ok,
973,theinteriorplanet.com,https://theinteriorplanet.com/,200,420860,1,ok,page2_error:
978,snikcart.com,https://snikcart.com/,200,229167,1,ok,page2_error:
1087,paperclipsplus.com,http://paperclipsplus.com/,200,163,1,ok,"https: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'paperclipsplus.com'. (_ssl.c:1016)"
1092,soorajachar.com,https://soorajachar.com/,200,117677,1,ok,page2_error:
1099,modernskinderm.com,https://modernskinderm.com/,200,430631,1,ok,page2_error:
1109,backaerttondeuse.com,https://backaerttondeuse.com/,200,705525,1,ok,page2_error:
1111,enbattech.com,http://enbattech.com/,503,121,1,ok,https: 
1113,saludtamarugal.com,,,0,0,timeout,http: 
1128,gsbleshirondelles.com,,,0,0,timeout,http: 
1133,youwetravel.com,,,0,0,timeout,http: 
1139,rice-box.com.tr,,,0,0,dead,dns_resolution_failed
1140,srsl.online,,,0,0,timeout,http: 
1149,trusquwa.com,,,0,0,timeout,http: 
1151,mtechcourse.com,,,0,0,timeout,http: 
1156,finalmedic.ca,,,0,0,timeout,http: 
1164,sattvastha.com,http://sattvastha.com/,200,114,1,ok,https: 
1166,safesysinnovations.com,,,0,0,timeout,http: 
1168,kvrl.in,,,0,0,timeout,http: 
1169,craftsasia.com,,,0,0,timeout,http: 
1172,kingkebabish.com,,,0,0,timeout,http: 
1174,codeupschool.com,,,0,0,timeout,http: 
1182,thegoodroom.in,,,0,0,timeout,http: 
1185,excavatorscheaper.com,,,0,0,timeout,http: 
1190,cassiopeiasoftware.com,http://cassiopeiasoftware.com/,403,1242,1,blocked,http_403
1199,cirrustea.com,,,0,0,timeout,http: 
1204,zandeproject.com,,,0,0,timeout,http: 
1209,north-arib.com,,,0,0,timeout,http: 
1215,almondgainworld.com,,,0,0,timeout,http: 
1219,bluecompostinvestments.com,,,0,0,timeout,http: 
1223,shriekaa.in,,,0,0,timeout,http: 
1227,mrmtimbercrafter.ie,,,0,0,timeout,http: 
1228,hikanzu.com,,,0,0,timeout,http: 
1231,bioroses.com,,,0,0,timeout,http: 
1232,lolitaoman.com,,,0,0,timeout,http: 
1235,boatandtrade.com,,,0,0,timeout,http: 
1240,sasanoilandgas.com,,,0,0,timeout,http: 
1241,zrmtech.com,,,0,0,timeout,http: 
1243,queensboroughwest.org,,,0,0,timeout,http: 
1244,adest.co.in,,,0,0,timeout,http: 
1247,greenbayshopping.com,,,0,0,timeout,http: 
1251,kayan-medical-supplies.com,,,0,0,timeout,http: 
1253,www.genlabsanabolics.com,http://www.genlabsanabolics.com/,200,119136,1,ok,https: 
1256,orising.ca,,,0,0,timeout,http: 
1257,gf84.com,,,0,0,blocked,http: peer closed connection without sending complete message body (incomplete chunked read)
1302,rmtclinic.net,,,0,0,timeout,http: 
1342,mottershead.it,,,0,0,timeout,http: 
1350,publiclandmatters.org,,,0,0,timeout,http: 
1378,perfectcircle.nz,,,0,0,timeout,http: 
1381,conchwindows.com,,,0,0,timeout,http: 
1392,hospitalityplusplus.com,http://hospitalityplusplus.com/,200,114,1,ok,https: 
1395,farmauchytilovi.cz,http://farmauchytilovi.cz/,502,17339,1,ok,https: 
1428,reimailpros.com,,,0,0,timeout,http: 
1463,kahvemalzemeleri.com,,,0,0,timeout,http: 
1468,daneshandishan.com,http://daneshandishan.com/,503,114,1,ok,https: 
1499,fazcity.com,http://fazcity.com/,503,114,1,ok,https: 
1541,geol.by,http://geol.by/,200,328278,2,ok,https: 
1556,spw-c.com,,,0,0,timeout,http: 
1562,liquorbarn901.com,,,0,0,timeout,http: 
1566,vyoguatemala.com,,,0,0,timeout,http: 
1567,acord-line.ro,http://acord-line.ro/,200,119971,1,ok,https: 
1612,arshadtech.com,http://arshadtech.com/,503,114,1,ok,https: 
1621,sallyteam.com,,,0,0,timeout,http: 
1625,twelvestoneshse.org,http://twelvestoneshse.org/,200,114,1,ok,https: 
1627,digigalaxyco.com,http://digigalaxyco.com/,503,118,1,ok,https: 
1633,safarinortherntour.com,,,0,0,timeout,http: 
1651,olonola.com,,,0,0,timeout,http: 
1652,pharmagratis.com,,,0,0,timeout,http: 
707,ultradach.pl,,,0,0,timeout,http: 
709,23fab.com,,,0,0,timeout,http: 
711,skinfactorycr.com,,,0,0,timeout,http: 
714,themerchstudio.cl,,,0,0,timeout,http: 
722,trappenmaat.be,,,0,0,timeout,http: 
724,westernauctions.ca,,,0,0,timeout,http: 
728,beymaral-honey.com,,,0,0,timeout,http: 
731,sakeking.hk,,,0,0,timeout,http: 
733,vestelpakistan.com,,,0,0,timeout,http: 
734,ariadneparis.com,,,0,0,timeout,http: 
738,divafur.com,,,0,0,timeout,http: 
739,hyrla.pl,,,0,0,timeout,http: 
752,truckamuck.com,,,0,0,timeout,http: 
754,valordoor.com,http://valordoor.com/,202,169,1,ok,https: 
759,simiobasan.ca,,,0,0,timeout,http: 
761,christianroyalty.co.za,,,0,0,timeout,http: 
763,drivematecarrentals.com,http://drivematecarrentals.com/,202,168,1,ok,https: 
765,peptideminds.com,,,0,0,timeout,http: 
770,houseofbeans.co,,,0,0,timeout,http: 
774,hemp-angels.hu,http://hemp-angels.hu/,202,169,1,ok,https: 
777,butforthem.com,,,0,0,timeout,http: 
782,www.4uviplogo.com,,,0,0,timeout,http: 
788,aubouquets.ca,,,0,0,timeout,http: 
789,leafandiron.com,,,0,0,timeout,http: 
791,tintdizajn.hr,,,0,0,timeout,http: 
792,serwissejfow.pl,,,0,0,timeout,http: 
794,ayoshin.com,http://ayoshin.com/,503,114,1,ok,https: 
795,mobilityonthemove.co.uk,,,0,0,timeout,http: 
798,himkan.com,http://www.himkan.com/,200,382431,2,ok,https: 
800,booksplaces.com,,,0,0,timeout,http: 
804,hollycreeksoap.com,,,0,0,timeout,http: 
806,tellusfilters.com,http://tellusfilters.com/,403,103,1,blocked,http_403
810,enzosbp.com,,,0,0,timeout,http: 
811,bricobro.com,,,0,0,timeout,http: 
815,piecenapelletitalia.pl,http://piecenapelletitalia.pl/,202,169,1,ok,https: 
822,tupperstars.sk,http://tupperstars.sk/,200,256742,1,ok,https: 
823,motoposlovalnica.si,,,0,0,timeout,http: 
826,mandycamerondesigns.com,http://mandycamerondesigns.com/,202,168,1,ok,https: 
827,propolymersource.com,,,0,0,timeout,http: 
829,mvmavia.ru,,,0,0,timeout,http: 
830,2agna.com,,,0,0,timeout,http: 
832,service-balauseri.ro,,,0,0,timeout,http: 
833,fanshopgloriabistrita.ro,,,0,0,timeout,http: 
834,hallokraamcadeau.nl,,,0,0,timeout,http: 
836,tigrbusiness.ru,,,0,0,timeout,http: 
839,dcni.co.uk,,,0,0,timeout,http: 
840,sunandfinecrop.com,http://sunandfinecrop.com/,200,32012,1,ok,https: 
842,imbertmnif.com,,,0,0,timeout,http: 
